x (m),y (m),z (m),t (s),id
-4.18170265565223e-06,-8.09878273657177e-06,-1.20123850029206e-07,3.529722975,1
-4.17347341161585e-06,-8.09789503129839e-06,-1.0710694973287e-07,3.529972975,1
-4.16524416757946e-06,-8.097007326025e-06,-9.40900494365113e-08,3.530222975,1
-4.1579855863761e-06,-8.09606550517172e-06,-8.21013979159686e-08,3.530472975,1
-4.16149349872445e-06,-8.09452343980282e-06,-8.15179773752687e-08,3.530722975,1
-4.1650014110728e-06,-8.09298137443392e-06,-8.09345568345677e-08,3.530972975,1
-4.16850932342114e-06,-8.09143930906503e-06,-8.03511362938678e-08,3.531222975,1
-4.17201723576949e-06,-8.08989724369614e-06,-7.97677157531678e-08,3.531472975,1
-4.17552514811783e-06,-8.08835517832724e-06,-7.91842952124679e-08,3.531722975,1
-4.17743348663081e-06,-8.08666567349732e-06,-7.88151012652537e-08,3.531972975,1
-4.17639069105491e-06,-8.08470415020231e-06,-7.88411447174052e-08,3.532222975,1
-4.17903204157399e-06,-8.08442865744075e-06,-7.93508754467173e-08,3.532472975,1
-4.18781363558476e-06,-8.08696321556827e-06,-8.06667516379713e-08,3.532722975,1
-4.19659522959551e-06,-8.08949777369579e-06,-8.19826278292229e-08,3.532972975,1
-4.20078043730135e-06,-8.08848239358688e-06,-8.26974095245548e-08,3.533222975,1
-4.19952625335373e-06,-8.08326599486627e-06,-8.27008523185976e-08,3.533472975,1
-4.19881159763911e-06,-8.08001810192787e-06,-8.01822176146046e-08,3.533722975,1
-4.19867746399872e-06,-8.07888828361458e-06,-7.49498756919465e-08,3.533972975,1
-4.19854333035833e-06,-8.0777584653013e-06,-6.97175337692791e-08,3.534222975,1
-4.19840919671794e-06,-8.07662864698801e-06,-6.4485191846621e-08,3.534472975,1
-4.19827506307755e-06,-8.07549882867472e-06,-5.92528499239629e-08,3.534722975,1
-4.19989434763721e-06,-8.07928270057843e-06,-5.52697211197434e-08,3.534972975,1
-4.20230656630592e-06,-8.08528865080564e-06,-5.18515138448445e-08,3.535222975,1
-4.20178330189535e-06,-8.08496139417558e-06,-5.17367439383118e-08,3.535472975,1
-4.20007438750316e-06,-8.08207613724673e-06,-5.2956241799401e-08,3.535722975,1
-4.19836547311096e-06,-8.07919088031788e-06,-5.41757396604923e-08,3.535972975,1
-4.19665655871877e-06,-8.07630562338903e-06,-5.53952375215815e-08,3.536222975,1
-4.19494764432658e-06,-8.07342036646018e-06,-5.66147353826707e-08,3.536472975,1
-4.19323872993439e-06,-8.07053510953132e-06,-5.7834233243762e-08,3.536722975,1
-4.19266695228527e-06,-8.06839929282778e-06,-5.79149698177621e-08,3.536972975,1
-4.21722412117642e-06,-8.08287854467921e-06,-3.27928141564824e-08,3.537222975,1
-4.20950828195637e-06,-8.08327892692296e-06,-3.48864929895182e-08,3.537472975,1
-4.20224932960965e-06,-8.08363280883112e-06,-3.6804684229862e-08,3.537722975,1
-4.20931947334547e-06,-8.08252832584542e-06,-3.32191529433024e-08,3.537972975,1
-4.21584207852804e-06,-8.08158648440476e-06,-2.99071649027758e-08,3.538222975,1
-4.21286564330527e-06,-8.08346624995214e-06,-3.13407757452886e-08,3.538472975,1
-4.21043199289665e-06,-8.08543564042877e-06,-3.22596766316655e-08,3.538722975,1
-4.21439653995216e-06,-8.08846150481574e-06,-2.71113187255498e-08,3.538972975,1
-4.21797237604845e-06,-8.0913128295175e-06,-2.2142362438065e-08,3.539222975,1
-4.21812229151204e-06,-8.09262584125277e-06,-1.87545699747801e-08,3.539472975,1
-4.21827220697564e-06,-8.09393885298804e-06,-1.53667775114951e-08,3.539722975,1
-4.21842212243923e-06,-8.09525186472332e-06,-1.19789850482042e-08,3.539972975,1
-4.21807670899842e-06,-8.09566680266918e-06,-7.26209768979021e-09,3.540222975,1
-4.21622043205859e-06,-8.09334241550036e-06,1.50882517096436e-09,3.540472975,1
-4.21436415511875e-06,-8.09101802833154e-06,1.02797480317345e-08,3.540722975,1
-4.21250787817892e-06,-8.08869364116273e-06,1.90506708924891e-08,3.540972975,1
-4.21065160123909e-06,-8.08636925399392e-06,2.78215937532436e-08,3.541222975,1
-4.20953812522964e-06,-8.08360365635564e-06,3.18717840079093e-08,3.541472975,1
-4.20931905554214e-06,-8.08030679735639e-06,3.02377419003887e-08,3.541722975,1
-4.20909998585464e-06,-8.07700993835715e-06,2.86036997928681e-08,3.541972975,1
-4.20888091616714e-06,-8.0737130793579e-06,2.69696576853446e-08,3.542222975,1
-4.20866184647964e-06,-8.07041622035865e-06,2.53356155778239e-08,3.542472975,1
-4.20844277679214e-06,-8.06711936135941e-06,2.37015734703033e-08,3.542722975,1
-4.20822370710465e-06,-8.06382250236016e-06,2.20675313627798e-08,3.542972975,1
-4.20800463741715e-06,-8.06052564336091e-06,2.04334892552592e-08,3.543222975,1
-4.20778556772965e-06,-8.05722878436167e-06,1.87994471477385e-08,3.543472975,1
-4.20756649804215e-06,-8.05393192536242e-06,1.71654050402179e-08,3.543722975,1
-4.20734742835465e-06,-8.05063506636317e-06,1.55313629326944e-08,3.543972975,1
-4.20696138159791e-06,-8.04805106978531e-06,1.40122718946752e-08,3.544222975,1
-4.20497161128224e-06,-8.05231372744976e-06,1.35972231010756e-08,3.544472975,1
-4.20298184096656e-06,-8.05657638511423e-06,1.31821743074752e-08,3.544722975,1
-4.20099207065088e-06,-8.06083904277868e-06,1.27671255138756e-08,3.544972975,1
-4.1990023003352e-06,-8.06510170044314e-06,1.2352076720276e-08,3.545222975,1
-4.19681679331797e-06,-8.06782941055384e-06,1.23525664418049e-08,3.545472975,1
-4.19418315227351e-06,-8.06704289863353e-06,1.33044206584988e-08,3.545722975,1
-4.19154951122905e-06,-8.06625638671322e-06,1.42562748751927e-08,3.545972975,1
-4.18891587018458e-06,-8.06546987479291e-06,1.52081290918883e-08,3.546222975,1
-4.18628222914012e-06,-8.0646833628726e-06,1.61599833085822e-08,3.546472975,1
-4.18550131577515e-06,-8.06328086548612e-06,1.44559179222426e-08,3.546722975,1
-4.18649549474144e-06,-8.06128819443877e-06,1.02072246491414e-08,3.546972975,1
-4.18748967370774e-06,-8.05929552339142e-06,5.95853137604782e-09,3.547222975,1
-4.18848385267403e-06,-8.05730285234408e-06,1.70983810295419e-09,3.547472975,1
-4.18947803164032e-06,-8.05531018129674e-06,-2.53885517013944e-09,3.547722975,1
-4.19047221060662e-06,-8.05331751024939e-06,-6.78754844324061e-09,3.547972975,1
-4.19146638957291e-06,-8.05132483920205e-06,-1.10362417163342e-08,3.548222975,1
-4.19246056853921e-06,-8.0493321681547e-06,-1.52849349894279e-08,3.548472975,1
-4.19345474750551e-06,-8.04733949710736e-06,-1.9533628262529e-08,3.548722975,1
-4.19440855484464e-06,-8.04540761999033e-06,-2.36707860479975e-08,3.548972975,1
-4.19389068785001e-06,-8.04569187517208e-06,-2.37421202339109e-08,3.549222975,1
-4.19337282085538e-06,-8.04597613035384e-06,-2.38134544198245e-08,3.549472975,1
-4.19285495386075e-06,-8.0462603855356e-06,-2.38847886057379e-08,3.549722975,1
-4.19233708686612e-06,-8.04654464071735e-06,-2.39561227916514e-08,3.549972975,1
-4.19181921987149e-06,-8.04682889589911e-06,-2.4027456977565e-08,3.550222975,1
-4.19130135287686e-06,-8.04711315108086e-06,-2.40987911634784e-08,3.550472975,1
-4.19078348588223e-06,-8.04739740626262e-06,-2.41701253493918e-08,3.550722975,1
-4.19026561888759e-06,-8.04768166144437e-06,-2.42414595353054e-08,3.550972975,1
-4.18974775189296e-06,-8.04796591662613e-06,-2.43127937212189e-08,3.551222975,1
-4.18922988489833e-06,-8.04825017180788e-06,-2.43841279071323e-08,3.551472975,1
-4.1887120179037e-06,-8.04853442698964e-06,-2.44554620930457e-08,3.551722975,1
-4.18819415090907e-06,-8.0488186821714e-06,-2.45267962789593e-08,3.551972975,1
-4.18767628391444e-06,-8.04910293735315e-06,-2.45981304648728e-08,3.552222975,1
-4.18715841691981e-06,-8.04938719253491e-06,-2.46694646507862e-08,3.552472975,1
-4.18664054992518e-06,-8.04967144771666e-06,-2.47407988366998e-08,3.552722975,1
